,Acc,Acc_Cross.,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8,cm_cross0,cm_cross1,cm_cross2,cm_cross3,cm_cross4,cm_cross5,cm_cross6,cm_cross7,cm_cross8
0,0.8775510204081632,0.8285163776493256,0.7142857142857143,0.2857142857142857,0.0,0.038461538461538464,0.9615384615384616,0.0,0.0,0.1111111111111111,0.8888888888888888,0.8098591549295775,0.19014084507042253,0.0,0.12454212454212454,0.8571428571428571,0.018315018315018316,0.0,0.22115384615384615,0.7788461538461539
1,0.8775510204081632,0.8227360308285164,0.9285714285714286,0.07142857142857142,0.0,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.0,0.1111111111111111,0.8888888888888888,0.8098591549295775,0.19014084507042253,0.0,0.1282051282051282,0.8424908424908425,0.029304029304029304,0.0,0.21153846153846154,0.7884615384615384
2,0.8367346938775511,0.8265895953757225,0.9285714285714286,0.07142857142857142,0.0,0.11538461538461539,0.7692307692307693,0.11538461538461539,0.0,0.1111111111111111,0.8888888888888888,0.7887323943661971,0.2112676056338028,0.0,0.11355311355311355,0.8644688644688645,0.02197802197802198,0.0,0.22115384615384615,0.7788461538461539
3,0.8367346938775511,0.8362235067437379,0.7857142857142857,0.21428571428571427,0.0,0.038461538461538464,0.9230769230769231,0.038461538461538464,0.0,0.3333333333333333,0.6666666666666666,0.8028169014084507,0.19718309859154928,0.0,0.0989010989010989,0.8681318681318682,0.03296703296703297,0.0,0.20192307692307693,0.7980769230769231
4,0.7959183673469388,0.838150289017341,0.5714285714285714,0.42857142857142855,0.0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.1111111111111111,0.8888888888888888,0.8169014084507042,0.18309859154929578,0.0,0.10989010989010989,0.8644688644688645,0.02564102564102564,0.0,0.20192307692307693,0.7980769230769231
5,0.8367346938775511,0.8285163776493256,1.0,0.0,0.0,0.15384615384615385,0.7307692307692307,0.11538461538461539,0.0,0.1111111111111111,0.8888888888888888,0.7746478873239436,0.22535211267605634,0.0,0.0989010989010989,0.8717948717948718,0.029304029304029304,0.0,0.21153846153846154,0.7884615384615384
6,0.8367346938775511,0.8304431599229287,0.7857142857142857,0.21428571428571427,0.0,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.0,0.1111111111111111,0.8888888888888888,0.8028169014084507,0.19718309859154928,0.0,0.12087912087912088,0.8461538461538461,0.03296703296703297,0.0,0.17307692307692307,0.8269230769230769
7,0.9183673469387755,0.8246628131021194,0.9285714285714286,0.07142857142857142,0.0,0.038461538461538464,0.9615384615384616,0.0,0.0,0.2222222222222222,0.7777777777777778,0.7887323943661971,0.2112676056338028,0.0,0.11355311355311355,0.8498168498168498,0.03663003663003663,0.0,0.19230769230769232,0.8076923076923077
8,0.8163265306122449,0.8304431599229287,0.7142857142857143,0.2857142857142857,0.0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.2222222222222222,0.7777777777777778,0.795774647887324,0.20422535211267606,0.0,0.10622710622710622,0.8608058608058609,0.03296703296703297,0.0,0.20192307692307693,0.7980769230769231
9,0.9183673469387755,0.8246628131021194,0.8666666666666667,0.13333333333333333,0.0,0.08,0.92,0.0,0.0,0.0,1.0,0.8028169014084507,0.19718309859154928,0.0,0.11721611721611722,0.8571428571428571,0.02564102564102564,0.0,0.23076923076923078,0.7692307692307693
