,Acc,Acc_Cross.,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8,cm_cross0,cm_cross1,cm_cross2,cm_cross3,cm_cross4,cm_cross5,cm_cross6,cm_cross7,cm_cross8
0,0.7722772277227723,0.0,0.6428571428571429,0.35714285714285715,0.0,0.09433962264150944,0.8490566037735849,0.05660377358490566,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8514851485148515,0.0,0.75,0.25,0.0,0.07547169811320754,0.8867924528301887,0.03773584905660377,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8217821782178217,0.0,0.6428571428571429,0.35714285714285715,0.0,0.03773584905660377,0.8867924528301887,0.07547169811320754,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8118811881188119,0.0,0.7857142857142857,0.21428571428571427,0.0,0.07547169811320754,0.8301886792452831,0.09433962264150944,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.8217821782178217,0.0,0.5517241379310345,0.4482758620689655,0.0,0.018867924528301886,0.9245283018867925,0.05660377358490566,0.0,0.05263157894736842,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.8316831683168316,0.0,0.8620689655172413,0.13793103448275862,0.0,0.1320754716981132,0.8113207547169812,0.05660377358490566,0.0,0.15789473684210525,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8118811881188119,0.0,0.896551724137931,0.10344827586206896,0.0,0.07547169811320754,0.8490566037735849,0.07547169811320754,0.0,0.42105263157894735,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7722772277227723,0.0,0.75,0.25,0.0,0.18518518518518517,0.8148148148148148,0.0,0.0,0.3157894736842105,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8712871287128713,0.0,0.8928571428571429,0.10714285714285714,0.0,0.07407407407407407,0.9074074074074074,0.018518518518518517,0.0,0.2631578947368421,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.84,0.0,0.8214285714285714,0.17857142857142858,0.0,0.11320754716981132,0.8867924528301887,0.0,0.0,0.2631578947368421,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
