,Acc,Acc_Cross.,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8,cm_cross0,cm_cross1,cm_cross2,cm_cross3,cm_cross4,cm_cross5,cm_cross6,cm_cross7,cm_cross8
0,0.8269230769230769,0.8367346938775511,0.7857142857142857,0.21428571428571427,0.0,0.07407407407407407,0.8888888888888888,0.037037037037037035,0.0,0.2727272727272727,0.7272727272727273,0.7659574468085106,0.23404255319148937,0.0,0.08108108108108109,0.8687258687258688,0.05019305019305019,0.0,0.14444444444444443,0.8555555555555555
1,0.7884615384615384,0.8346938775510204,0.7142857142857143,0.2857142857142857,0.0,0.1111111111111111,0.8518518518518519,0.037037037037037035,0.0,0.2727272727272727,0.7272727272727273,0.75177304964539,0.24822695035460993,0.0,0.07335907335907337,0.8764478764478765,0.05019305019305019,0.0,0.15555555555555556,0.8444444444444444
2,0.8076923076923077,0.826530612244898,0.8571428571428571,0.14285714285714285,0.0,0.18518518518518517,0.7407407407407407,0.07407407407407407,0.0,0.09090909090909091,0.9090909090909091,0.7588652482269503,0.24113475177304963,0.0,0.0888030888030888,0.8571428571428571,0.05405405405405406,0.0,0.15555555555555556,0.8444444444444444
3,0.9423076923076923,0.8244897959183674,0.7857142857142857,0.21428571428571427,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7659574468085106,0.23404255319148937,0.0,0.09652509652509653,0.861003861003861,0.04247104247104247,0.0,0.18888888888888888,0.8111111111111111
4,0.8461538461538461,0.8326530612244898,0.7333333333333333,0.26666666666666666,0.0,0.07407407407407407,0.9259259259259259,0.0,0.0,0.2,0.8,0.7588652482269503,0.24113475177304963,0.0,0.08108108108108109,0.8687258687258688,0.05019305019305019,0.0,0.15555555555555556,0.8444444444444444
5,0.8461538461538461,0.8367346938775511,0.8,0.2,0.0,0.1111111111111111,0.8518518518518519,0.037037037037037035,0.0,0.1,0.9,0.7872340425531915,0.2127659574468085,0.0,0.08494208494208494,0.8532818532818532,0.06177606177606178,0.0,0.13333333333333333,0.8666666666666667
6,0.8461538461538461,0.8387755102040816,0.8571428571428571,0.14285714285714285,0.0,0.10714285714285714,0.8928571428571429,0.0,0.0,0.3,0.7,0.7730496453900709,0.22695035460992907,0.0,0.07722007722007722,0.8687258687258688,0.05405405405405406,0.0,0.14444444444444443,0.8555555555555555
7,0.75,0.8387755102040816,0.7857142857142857,0.21428571428571427,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.2,0.8,0.8014184397163121,0.19858156028368795,0.0,0.08108108108108109,0.861003861003861,0.05791505791505792,0.0,0.16666666666666666,0.8333333333333334
8,0.8846153846153846,0.8346938775510204,0.7142857142857143,0.2857142857142857,0.0,0.07142857142857142,0.9285714285714286,0.0,0.0,0.0,1.0,0.7659574468085106,0.23404255319148937,0.0,0.08494208494208494,0.8764478764478765,0.03861003861003861,0.0,0.17777777777777778,0.8222222222222222
9,0.8431372549019608,0.8326530612244898,0.6428571428571429,0.35714285714285715,0.0,0.037037037037037035,0.9259259259259259,0.037037037037037035,0.0,0.1,0.9,0.7446808510638298,0.2553191489361702,0.0,0.07722007722007722,0.8841698841698842,0.03861003861003861,0.0,0.17777777777777778,0.8222222222222222
